"","artist","song","text"
"236","John Prine","The Twentieth Century Is Almost Over","Back in 1899, when everyone was singing ""auld lang syne""  
A century took a long, long time for every boy and girl.  
Now there's only one thing that I'd like to know  
Where did the 20th century go?  
I'd swear it was here just a minute ago  
All over this world.  
  
Chorus:  
And now the 20th century is almost over,  
Almost over, almost over  
The 20th century is almost over  
All over this world.  
All over this world, all over this world  
The 20th century is almost over, all over this world.  
  
Does anyone remember the great depression?  
I read all about it in true confession  
I'm sorry I was late for the recording session  
But somebody put me on hold.  
Has anybody seen my linoleum floors  
Petroleum jelly, and two world wars?  
They got stuck in the revolving doors  
All over this world.  
And now...  
  
The winter's getting colder, summer's getting hotter  
Wishin' well's wishin' for another drop of water.  
And mother earth's blushin'' 'cause somebody caught her  
Makin' love to the man in the moon.  
Tell me how you gonna keep 'em down on the farm  
Now that outer space has lost it's charm?  
Somebody set off a burglar alarm  
And not a moment too soon.  
Because...  
  
Old father time has got his toes a tappin'  
Standing in the window, grumblin' and a rappin'  
Everybody's waiting for something to happen.  
Tell me if it happens to you!  
The judgment day is getting nearer  
There it is in the rear view mirror.  
If you duck down I could see a little clearer  
All over this world!  
And now...

"
"237","Dean Martin","Jingle Bells","Jingle Bells  
Jingle Bells  
Jingle all the way  
Oh what fun it is to ride  
In a one horse open sleigh  
Jingle Bells  
Jingle Bells  
Jingle all the way  
Oh what fun it is to ride  
In a one horse open sleigh  
Dashing through the snow  
In a one horse open sleigh  
Over the fields we go  
Laughing all the way  
Bells on bop tails ring  
Making spirits bright  
What fun it is to  
Ride a sleighing song tonight  
Jingle Bells  
Jingle Bells, Jingle Bells  
Jingle all the way  
Oh what fun it is to ride  
In a one horse open sleigh  
Ba la la la bop  
Jingle Bells  
Jingle Bells, Jingle Bells  
Jingle all the way  
Oh what fun it is to ride  
In a one horse open sleigh  
Dashing through the snow  
In a one horse open sleigh  
Over the fields we go  
Laughing all the way  
Bells on bop tails ring  
Making spirits bright  
What fun it is to  
Ride a sleighing song tonight  
Jingle Bells  
Jingle Bells  
Jingle all the way  
Oh what fun it is to ride  
In a one horse open sleigh  
Jingle Bells  
Jingle Bells  
Jingle all the way  
Oh what fun it is to ride  
In a one horse open sleigh  
Jingle Bells  
Jingle Bells  
Jingle all the way  
Oh what fun it is to ride  
In a one horse open sleigh  
Jingle Bells  
Jingle Bells  
Jingle all the way  
Oh what fun it is to ride  
In a one horse open sleigh

"
"238","Roxette","Voices","I knew this would happen  
And I don't want to be around  
When it gets out.  
I've closed the last picture  
  
And painted the windows  
Inside and out.  
Give me your dreams  
And I'll give you my time,  
  
Together we'll cross the borderline.  
Voices -  
Cracking the night,  
Voices -  
  
That cut like a knife,  
Voices -  
Hear them singing...  
From sparks to the fire,  
  
From here to obsession they cover the end.  
Twisting a match  
And see the reflections of hunters of men.  
Give me your dreams  
  
And I'll give you my time,  
Until we make it to the borderline.  
Voices...

"
"239","Zebrahead","Runaway","She wakes up in the morning  
In the same room that she's been in her whole life  
And everything still looks the same  
But the feeling of the room has changed in spite  
  
She said  
""You don't know what it's like to be stuck in my mind""  
She said  
""You don't know what it's like to be stuck in my mind all the time""  
  
Bruised lips and the make-up  
Tattooed hips and pierced  
For the sake of letting everybody know  
She don't belong here  
Old tricks that she made up  
  
Attitude  
I don't give a fuck  
For the sake of letting everybody know  
She says I won't belong So long  
It's not a lost cause  
She's just a runaway  
  
Is there nothing left for you to say?  
And if she comes home  
Do you think she'll want to stay?  
Is there anything for her?  
She's a runaway  
Turn your back on yesterday  
She calls at seven thirty  
  
And wants to talk about her boyfriend one last time  
Mom and Dad are fighting in the background,  
Shattered glass cuts through red wine  
I said,  
""I don't know that I'm right but I know that you're wrong""  
  
[Chorus]  
  
Blacked out  
Passed out at a party  
In another town  
With the same old Bacardi  
Nothing ever changes what's inside me  
Someone find me, someone find me  
My heart showed me the way out  
  
Don't stop  
Don't give up on me now  
Two beats, two streets  
Too many repeats to blow my only other way out  
  
[Chorus]

"
"240","Michael W. Smith","I Hear Leesha","Seems like it was only yesterday  
She was living here  
Yea, she was living here  
Lord knows why He's taken her away  
It isn't very clear, no it isn't very clear  
Into every life a little rain must fall  
And losing one you love is like a storm  
But storms are passing  
  
[Chorus]  
I hear Leesha  
Singing in heaven tonight  
And in between the sadness  
I hear Leesha  
Telling me that she's alright  
  
Life goes on even after life  
That's what I believe  
Yea, that's what I believe  
Leesha's gone, but she will still survive  
In a memory that I'm keeping here with me  
Silencing the voice of mortal tragedy  
Listening to whispers of the soul  
All is peaceful  
  
[Chorus]

"
"241","Willie Nelson","Blue Hotel","I'd like to say that I tried  
It fits in with all the suggestions and lies and empty tables  
With food untouched,  
I couldn't see the future.  
I liked the past too much  
I've been going door to door like I got something to sell,  
Wandering like a fool  
Through the halls of a blue hotel.  
  
So go on and rain down on us  
Go on and rain  
Go on and rain down on us  
I give up, I give up.  
  
Something about her that's cold.  
She's blowing through the trees,  
Leaving me raw  
As the words come out,  
I get confused.  
I get shattered like a light bulb in an October moon.  
She's inside me like a secret  
And I got no one to tell.  
Wandering like a fool  
Through the halls of a blue hotel.  
  
Go on and rain down on us  
Go on and rain  
Go on and rain down on us  
I give up.  
I give up.

"
"242","Yo La Tengo","My Heart's Reflection","Got something to say, sit down on the bed  
Something that I usually leave unsaid  
It doesn't come so easily, I guess that's no surprise  
I wanna see my heart's reflection in your eyes  
Let's lock the door, hide the key  
I'll try to look like you if you'll dress up like me  
And you play dumb and I'll play too, nobody has to know  
I wanna see my heart's reflection in your eyes  
In your eyes  
Let's jump this ship, let's cut out  
Let's get into the wagon and drive until the motor falls out  
I want just us two, I don't want to have to hide my heart  
I wanna see it in your eyes as we ride on and on

"
"243","Bob Marley","Wings Of A Dove","If I had the wings of a dove  
If I had the wings of a dove  
Well, I would fly, fly away, fly away  
And be at rest  
  
If I had the wings of a dove  
If I had the wings of a dove  
Well, I would fly, fly away, fly away  
And be at rest  
  
Oh, since I have no wings, since  
I have no wings, since I have no wings  
I'm gonna sing, sing, sing,  
Since I have no wings, since  
I have no wings, since I have no wings  
I'm gonna sing, sing, sing,  
  
If I had the wings of a dove  
If I had the wings of a dove  
I would fly, fly away, fly away  
And be at rest  
  
Since I have no wings, since  
I have no wings, since I have no wings  
I'm gonna sing, sing, sing  
Since I have no wings, since  
I have no wings, since I have no wings  
I'm gonna sing, sing, sing, sing  
  
If I had the wings of a dove, imagine me  
If I had the wings of a dove  
Well, I would fly, fly away, fly away  
And I would be at rest

"
"244","Tom T. Hall","I'm Not Ready Yet","I said I'd leave you anytime I'm ready  
Some April when all the land is wet  
Some summer, some fall, or maybe winter  
I'll go someday, but I'm not ready yet  
I should've left the day your love was dyin'  
I passed up every date I ever set  
I know I'll leave you when my heart is ready  
I'm still around, 'cause I'm not ready yet  
Well, I've left a hundred times, but you don't know that  
Because I'm ashamed to tell how far I get  
You didn't, you don't, you'll never love me  
And someday I'll go, but I'm not ready yet  
I should've left the day your love was dyin'  
I passed up every date I ever set  
I know I'll leave you when my heart is ready  
I'm still around, 'cause I'm not ready yet  

"
"245","Bette Midler","When Your Life Was Low","Always remember my friend  
The world will change again  
And you may have to come back  
Through everywhere you've been  
  
When your life was low  
You had nowhere to go  
People turned their backs on you  
And everybody said that you were through  
  
I took you in, made you strong again  
Put you back together  
Out of all the dreams you left along the way  
You left me shining  
  
Now you're doing well  
From stories I hear tell  
You own the world again  
Everyone's your friend  
  
Although I never hear from you  
Still it's nice to know  
You used to love me so  
When your life was low  
  
I took you in. I made you strong again  
I put you back together  
Out of all the dreams you left along the way  
You left me shining  
  
Now you're doing well  
From stories I hear tell  
You own the world again  
Everyone's your friend  
  
Although I never hear from you  
Still it's nice to know  
You used to love me so  
You used to love me so  
When your life was low  
  
But always remember my friend  
The world will change again  
And you may have to come back  
Through everywhere you've been  
The world will change again

"
"246","Whitney Houston","All The Man That I Need","I used to cry myself to sleep at night  
But that was all before he came  
I thought love had to hurt to turn out right  
But now he's here  
It's not the same  
It's not the same  
  
[Chorus]  
He fills me up  
He gives me love  
More love than I've ever seen  
He's all I've got  
He's all I've got in this world  
But he's all the man that I need  
  
And in the morning when I kiss his eyes  
He takes me down and rocks me slow  
And in the evening when the moon is high  
He holds me close  
And won't let go  
He won't let go  
  
He fills me up  
He gives me love  
More love than I've ever seen  
He's all I've got  
He's all I've got in this world  
But he's all the man that I need  
  
He fills me up  
He gives me love  
More love than I've ever seen  
He's all I've got  
He's all I've got in this world  
But he's all the man that I need  
  
He fills me up  
He gives me love  
More more more love, more love, more love, more than I've ever seen  
He's all I've got  
He's all I've got in this world  
But he's all the man, all the man

"
"247","Insane Clown Posse","Everybody Rize","Jump (x28)  
Hey  
Ha  
Heh  
  
Smile! I'ma blow a hole in your neck  
And leave you standing there looking stupid like Beck  
Everybody jumps to the juggalo sound  
Fuck outta here if you ain't down with the clown  
  
Fuck rednecks, dumb diddy dumb  
Barrels in your mouth, shreds your toungue  
Everybody jumps to the juggalo sound  
Fuck outta here if you ain't down with the clown  
  
Fuck Gene Simmons, you make me sick  
'Psycho Circus' you stole my shit!  
Spit your blood out and do your dance  
But I'ma kick that ass through your leather pants  
  
Fuck 'Palooza, big festivals  
We'll never sell out with you bitch-ass hoes  
Everybody jumps to the Juggalo Sound  
Fuck outta here if you ain't down with the clown  
  
[Chorus]  
  
Everybody razed on the East Side [RIZE!]  
Everybody razed on the West Side [RIZE!]  
Everybody razed on the North Side [RIZE!]  
South Side [RIZE!]  
Everybody [RIZE!]  
  
Everybody razed on the East Side [RIZE!]  
Everybody razed on the West Side [RIZE!]  
Everybody razed on the North Side [RIZE!]  
South Side [RIZE!]  
Everybody [RIZE!]  
  
Fuck money, I was raised up without shit  
That's how I'll die, that's how I like it  
Everybody jumps to the juggalo sound  
Fuck outta here if you ain't down with the clown  
  
I SCREAAAAAMM! I make towers shatter  
I hooped the moon through the rings of Saturn  
Everybody jumps to the juggalo sound  
Fuck outta here if you ain't down with the clown  
  
I say what I want, whatever I feel  
Fuck your big contract record deal  
Paper ain't shit youse amongst the dead  
Dark Carnival, Alakoompahed  
  
Fuck videos, and radio play  
Fuck shit, suck my dick all day  
Everybody Jumps to the juggalo sound  
Fuck outta here if you ain't down with the clown  
  
(Chorus)  
  
Suck my dick (x7)  
  
Micheal Eisler can suck my dick  
If he's got some kind of problem with my shit  
Everybody Jumps to the juggalo sound  
Fuck outta here if you ain't down with the clown  
  
""I'm just a FAGOT!"" [Korn] ""FAGOT!"" Yeah,  
They call you that 'cause you act like a bitch  
Everybody jumps to the juggalo sound  
Fuck outta here, FUCK OUTTA HERE!  
  
Fuck skin color, everybody's blue  
Then what would all these bigots do?  
Instead of your tone, they'd hate your size  
That's why I must poke out all of their eyes  
  
ICP [yeah], we roam alone  
Ever since inner city ghetto zone  
Everybody Jumps to the juggalo sound  
FUCK OUTTA HERE IF YOU AIN'T DOWN WITH THE CLOWN!  
  
[Chorus]

"
"248","HIM","One Last Time","Is it so hard to believe our hearts  
Are made to be broken by love  
That in constant dying lies  
The beauty of it all  
My darling won't you feel  
The sweet heaven in  
Our endless cry  
  
Oh at least you could try  
For this one last time  
  
Ever amazed how bright are the flames  
We are burning in  
Ever smiled at the tragedies  
We hold inside  
My darling won't you cherish  
The fear of life that keeps  
You and me so alive  
  
Oh at least you could trust  
For this one last time  
It could be alright  
For this one last time  
  
Oh at least you could trust  
(and we just will be closer)  
For this one last time  
(let me fall into your arms)  
It could be alright  
(don't let us grow colder)  
For this one last time  
(let me close to your heart)  
  
Oh at least you could trust  
(and before it's over)  
For this one last time  
(and let me fall into your arms)  
It could be alright  
(before it's all over)  
For this one last time  
(let me close to your heart)

"
"249","Sia","First Fighting A Sandstorm","I fought so hard for your heart, on the way down  
And I thought that I could save you from destruction  
  
But I was never in contro-o-ol, never in control  
Fighting another war  
No I was never in contro-o-ol, never in control  
Fighting another war  
  
Was fist fighting a sandstorm  
Now I ain't boxing anymore  
I'm letting go and it's beautiful  
Fist fighting a sandstorm  
Fist fighting a sandstorm  
Is a losing battle  
Was fist fighting a sandstorm  
Fighting a sandstorm  
Fighting a sandstorm  
Was fist fighting a sandstorm  
Was fist fighting a sandstorm  
But I won't fight it anymore  
I'm letting go and it's beautiful  
  
I was hurting, I couldn't let go, I couldn't leave you  
And I told myself, though it was hell, that we'd push through  
  
But I was never in contro-o-ol, never in control  
Fighting another war  
No I was never in contro-o-ol, never in control  
Fighting another war  
  
Was fist fighting a sandstorm  
Now I ain't boxing anymore  
I'm letting go and it's beautiful  
Fist fighting a sandstorm  
Fist fighting a sandstorm  
Is a losing battle  
Was fist fighting a sandstorm  
Fighting a sandstorm  
Fighting a sandstorm  
Was fist fighting a sandstorm  
Was fist fighting a sandstorm  
But I won't fight it anymore  
I'm letting go and it's beautiful  
  
But I was never in contro-o-ol, never in control  
Fighting another war  
No I was never in contro-o-ol, never in control  
Fighting another war  
  
Was fist fighting a sandstorm  
Now I ain't boxing anymore  
I'm letting go and it's beautiful  
Fist fighting a sandstorm  
Fist fighting a sandstorm  
Is a losing battle  
Was fist fighting a sandstorm  
Fighting a sandstorm  
Fighting a sandstorm  
Was fist fighting a sandstorm  
Was fist fighting a sandstorm  
But I won't fight it anymore  
I'm letting go and it's beautiful

"
"250","Owl City","This Is The Future","Wake up on your own  
And look around you 'cause you?re not alone  
Release your high hopes and they?ll survive  
'cause this is the future and you are alive  
  
Dive in and swim away  
From your loneliness and miserable days  
  
And when you wake up on your own  
Look around you 'cause you?re not alone  
Let your hopes go and they?ll survive  
'cause this is the future and you are alive  
?You?re headed home

"
"251","Pat Benatar","Walking In The Underground","Cold sweat, sweat it out in the land of the midnight sun  
Walk it off - sort it out, figure out what you're running from  
I'm all alone on the outside of town  
It's a wild night at the carnival of souls  
They're strong armed in neon and out of control  
It's late at night and no one's around  
Walking In The Underground  
  
Night calls, and the sound marks the start of the masquerade  
Sirens flash, stains the glass as you pass in the street parade  
Loose change losers are double parked  
Faces marked like cards at the bottom of the deck  
Readin' the future no one expects  
They don't look up as they shuffle down  
  
Walking In The Underground  
Walking In The Underground  
Walking In The Underground  
  
Cold sweat, sweat it out in the land of the midnight sun  
Walk it off - sort it out, figure out what you're running from  
Nobody's children, more lost than found  
Play in the shadows like beautiful dolls  
Backlit in moonlight, steppin' on stars  
A silent dance to an empty sound  
  
Walking In The Underground  
Walking In The Underground  
Ooh, Walking In The Underground  
  
Yeah walkin' Ooh, Ooh, Ooh,  
Walk On  
Ooh, Ooh.........  
Yeah, Yeah.......

"
"252","Matt Monro","Cheek To Cheek","Heaven, I'm in heaven  
And my heart beats so that I can hardly speak  
And I seem to find the happiness I seek  
When we're out together dancing cheek to cheek  
  
Heaven, I'm in heaven  
And the cares that hung around me through the week  
Seem to vanish like a gambler's lucky streak  
When we're out together dancing cheek to cheek  
  
Oh I love to climb a mountain  
And reach the highest peak  
But it doesn't thrill me half as much  
As dancing cheek to cheek  
  
Oh I love to go out fishing  
In a river or a creek  
But I don't enjoy it half as much  
As dancing cheek to cheek  
  
Dance with me  
I want my arm about you  
That charm about you  
Will carry me through  
  
(Right up) To heaven, I'm in heaven  
And my heart beats so that I can hardly speak  
And I seem to find the happiness I seek  
When we're out together dancing, out together dancing  
Out together dancing cheek to cheek

"
"253","Ray Boltz","This Is America","This Is America  
Words by Ray Boltz, Music by Steve Millikan and Ray Boltz  
Wherever I roam  
This is my home  
Chorus:  
This is America  
This is the land I love  
Sweet liberty  
Land of the free  
Home of the brave  
And when the day is through  
Give me the red the white and the blue  
Wherever I roam  
This is my home  
This is America  
There are some things  
I'd like to show you  
In this country that I love  
Like the rivers and the valleys  
And the mountains high above  
The faith of a common people  
Who are not ashamed to say  
We still believe ""In God We Trust""  
In the usa  
Chorus  
America, America  
God shed His grace on thee  
And crown thy good with brotherhood  
From sea to shining sea  
Chorus (repeat)  
1998 Shepherd Boy Musicascap (adm. By Word, Inc., a division of Word Music)
and Weedom

"
"254","Phil Collins","You Know What I Mean","Just as I thought I'd make it  
You walk back into my life  
Just like you never left  
  
Just as I'd learned to be lonely  
You call up to tell me  
You're not sure if you're ready  
But ready or not, you'll take what you've got and leave  
  
Leave me alone with my heart  
I'm putting the pieces back together again  
Just leave, leave me alone with my dreams  
I can do without you, know what I mean  
  
I wish I could write a love song,  
To show you the way I feel  
Seems you don't like to listen  
Oh but like it or not, take what you've got and leave  
  
Leave me alone with my heart  
It's broken in two and I'm not thinking too straight  
Just leave, leave me alone with my dreams  
You've taken everything else, you know what I mean

"
"255","Kenny Rogers","It's The Messiah","It's the Messiah  
  
It must have been something  
Being born in a manger  
With the sheep from the fields  
And stars shining over your head  
It must have been something  
Seeing three wise men  
On their knees before a newborn  
With their eyes all aglow  
'Cause in their hearts they know  
Chorus  
It's the Messiah  
He's come at last  
It's the Messiah  
He's come at last  
It must have been something  
Speaking the word of your Father  
With the promise of life  
And peace, forever  
It must have been something  
Walking the streets of Jerusalem  
With the sins of the world  
On the innocence of a lamb  
But soon everyone will know  
Chorus  
It's the Messiah  
He's come at last  
It's the Messiah  
He's with us at last  
It's the Messiah  
He's come at last  
It's the Messiah  
He's with us at last  
  
  

"
"256","Pink Floyd","Eclipse","All that you touch  
All that you see  
All that you taste  
All you feel  
All that you love  
All that you hate  
All you distrust  
All you save  
All that you give  
All that you deal  
All that you buy  
Beg, borrow or steal  
All you create  
All you destroy  
All that you do  
All that you say  
All that you eat  
And everyone you meet  
All that you slight  
And everyone you fight  
All that is now  
All that is gone  
All that's to come  
And everything under the sun is in tune  
But the sun is eclipsed by the moon

"
"257","Mariah Carey","My All","Oh  
Mm  
  
I am thinking of you  
In my sleepless solitude tonight  
If it's wrong to love you  
Then my heart just won't let me be right  
'Cause I've drowned in you  
And I won't pull through  
Without you by my side  
  
I'd give my all to have  
Just one more night with you  
I'd risk my life to feel  
Your body next to mine  
'Cause I can't go on  
Living in the memory of our song  
I'd give my all for your love tonight  
  
Baby can you feel me  
Imagining I'm looking in your eyes  
I can see you clearly  
Vividly emblazoned in my mind  
And yet you're so far  
Like a distant star  
I'm wishing on tonight  
  
I'd give my all to have  
Just one more night with you  
I'd risk my life to feel  
Your body next to mine  
'Cause I can't go on  
Living in the memory of our song  
I'd give my all for your love tonight  
  
I'd give my all to have  
Just one more night with you  
I'd risk my life to feel  
Your body next to mine  
'Cause I can't go on  
Living in the memory of our song  
I'd give my all for your love tonight  
(I'd) give my all for your love  
Tonight

"
"258","Neil Diamond","Hooked On The Memory Of You","Stay with me, here with me  
I want you near with me  
I'm a man  
That's hooked on the memory  
Of you and I, who knows why?  
I only know that I'm sure, I am  
Hooked on the memory of you  
  
Time, time standing still  
I know it's you, I always will  
Need you too,  
Lay with me, lie with me  
Spend your desire with me, if you can  
I'm hooked on the memory  
Of you and I, who knows why?  
I guess I just wanted for you to be  
Hooked on the memory of me  
  
Time, time standing still,  
I know it's you, I always will  
Want you to, be here with me  
I want you to stay right here with me  
I need you to love with me,  
Laugh with me,  
Forgive the past with me  
I know you can  
  
I'm hooked on the memory  
Of you and I, who knows why?  
Guess I just wanted for you to be  
Hooked on the memory of me  
Oh you know that it's true  
Not a thing I can do  
I'm hooked on the memory of you

"
"259","NOFX","Fleas","My father used to say  
You sleep with dogs the next day  
You'll wake up in the bed scratching  
Those inevitable fleas  
At ten years old  
You listen to what you're told  
But I never felt the itch  
I never would  
  
My mother had forbidden me  
To waste away my life  
I want you to have all the things  
I could never buy you  
So don't stop what I'd begun  
You're my one and only son  
Follow what I say, not what I've done  
Follow what I say, not what I've done  
  
Shower, scrub, and shave  
Cleanly boys don't misbehave  
  
Follow what I say, not what I've done

"
"260","Christina Aguilera","Remember","I remember that time when I first laid eyes on you  
I looked into your eyes and I knew all my dreams would come true  
With you  
Then you left last summer and rest of your family  
And you left me here all alone for the rest of eternity  
  
Chores  
It's not easy to move on and it's certainly not easy to  
Be as stong as you'd like to be  
Because you left me here with only one memory  
  
How could ya do it how could ya leave knowing what you've done  
How could stand blaming for what I have done  
What I have done  
  
It was a cold night and I was at home crying over you my  
Friends were there to calm me and I got up and I jumped  
Over the balcony  
  
I......  
I blame you my.... My friends do to  
It was all.... All because of you  
Because you left me to find someone new

"
"261","Utopia","Welcome To My Revolution","There's too much music, too much light  
These endless broadcasts into the night  
Petty seizures of money and drugs  
By some official or unauthorized thugs  
Now it's gone, the whole world's gone  
There's the army at the front door, guerrillas in back  
Why do I always have to take up sides  
I had no plans to be conscripted today  
I am no use to them anyway  
So what the hell's going on  
When they took my bed for the good of the state  
I had to rest my head and took to levitation  
Welcome to my revolution  
Every morning they confer with the press  
Just to point a few fingers  
Fix the blame for this mess  
The spokesmen waffle and the jerk-offs complain  
In a stream of rhetoric  
Piss themselves down the drain  
Then it's time to go home  
Time to go home  
What will they say when it's gone  
The whole world's gone  
So they call a cease fire to bury the dead  
And just delay it for an hour or so  
Loose talk of cowards and leaders that lied  
What does it matter once we're vaporized  
Say what the hell's going on  
Then it got so bad I couldn't breathe the air  
So I became my own church and begged for sanctuary  
Welcome to my revolution  
This is the dream that I have every night  
I wake up screaming t  
Is this my vision of the end of the world  
The faces looked smoldered, the edges are curled  
Tell me what is the reason we can't look at ourselves  
And realize everybody creates his own hell  
And if we put it together to make them all real  
And then forget how to think, forget how to feel  
Until it's gone, the whole world's gone  
Are we damned if we do and damned if we don't  
Could we be suckered into thinking that  
Or get too greedy, afraid of the loss  
And wind up fighting for a worthless cause  
What if we died and had to come back  
How may times would we have to go 'round  
What if tomorrow was the end of the line  
Don't want to feel like I wasted my time  
So what the hell's going on  
When the noise gets so dense  
you can't hear yourself think  
We got the spirit world on a telephone link  
So welcome to my revolution

"
"262","Regine Velasquez","Hagkan","I.  
Hagkan at iyong pagmasdan  
Ang ating kaysang nagdaan  
Pagsuyo at lambingan  
Laging nakakamtan  
Ii.  
Sundan at iyong pakinggan  
Tinig ko na nagpapaalam  
Tumahan ka't magsaya  
Pagkat may sikat pa  
Refrain:  
Tignan mo ang ating umaga  
Kay tamis at may pag-asa  
O, kay sarap isipin  
Tayo'y may bukas din  
Iii.  
Ako ay magpapahinga  
Sa umaga sa 'yong pag-gising  
'Wag nang lumuha pa  
Di na iiwan pa  
(Repeat Refrain and iii)

"
"263","Queen","How Can I Go","(Freddie)  
When all the salt is taken from the sea  
I stand dethroned  
I'm naked and I plea  
The way your finger points so solidly  
Is anybody there to believe in me  
To hear my plea  
And take care of me  
[Chorus:]  
How can I go on  
From day to day  
Who can make me strong  
In every way  
Where can I be safe  
Where can I belong  
In this great big world  
Of sadness  
How can I forget  
Those beautiful dreams that we shared  
They're lost and they're nowhere to be found  
How can I go on  
(Monserrat)  
Sometimes I start to crawl  
But in my eyes  
I cannot see  
When people fly by me  
I hide myself down near the ground  
Is anybody there  
To look for me  
(Freddie)  
La-da-da-da-da precious love  
Hear my plea-yeah!  
[Chorus:]  
How can I go on  
From day to day  
Who can make me strong  
In every way  
Where can I be safe  
Where can I belong  
In this great big world  
Of sadness  
How can I forget  
Those beautiful dreams that we shared

"
"264","Nickelback","Truck","Children all have saviors  
Children don't care who saves us  
Round the corner, round the bend  
Fingernails torn to the end  
Bring back, bring back  
Bring back, bring back on me  
On me  
  
I told them, we scold them  
Can't console them always  
Toy soldiers falling  
Dominoes, but who knows?  
  
Bring back, bring back  
Bring back, bring back on me  
On me  
  
Yeah and I dream of falling stars  
And tokes for all my friends  
And I will live forever  
Yeah and I dream of all I'm worth  
And all along the way  
And I will never even  
Yeah and I will coast through falling prayers  
And all along the way  
And I will always listen  
  
Bring back, bring back (I)  
Bring back, bring back (Or)  
Bring back, bring back (We)  
On me....  
Bring it back, bring it back on  
Bring it back, bring it back on  
Bring it back, bring it back on

"
"265","John Mellencamp","Rooty Toot Toot","Got my hands on a little bit of dough  
So I went to the grocery store  
And got some steaks to go  
Went by, and picked up my gal, Teddi Jo  
We had ourselves a picnic  
Beside a dirty road  
  
Rooty toot toot  
Rooty toot toot  
We had it made in the shade  
Like a bell through the hoop  
Spinning and tumbling inside this  
Hoola hoop  
Living and learning rooty toot toot  
  
We laid out a blanket  
And started a fire.  
Had the radio playing  
From inside the car  
I took off my shirt  
And kicked off my shoes  
She read the paper  
And told me the news  
She said, ""There's a lot of people out there""  
""Who are at the end of their rope""  
""Sometimes, baby you've got to lay low""  
  
Rooty toot toot  
Rooty toot toot  
We had it made in the shade  
Like a bell through the hoop  
Spinning and tumbling inside this  
Hoola hoop  
Livin' and learnin' rooty toot toot  
  
We stayed there all day  
We both get us some real  
Good suntans  
I thought, that was OK  
Sometimes life can be so grand  
  
We were getting' ready  
To shake out that place  
When the Illinois state trooper  
Got in my face  
He said, ""You're on private property""  
But once he cooled down, he was OK  
Sometimes you're golden, man  
That's all I got to say  
  
Rooty toot toot  
Rooty toot toot  
We had it made in the shade  
Like a bell through the hoop  
Spinnin' and tumblin' inside this  
Hoola hoop  
Livin' and learnin' rooty toot toot

"
"266","Bob Marley","Rainbow Country","Hey Mr Music, sure sound good to me.  
I can't refuse it, wadda be gadda be.  
Feel like dancin' dance 'cause we are free.  
  
I got my own, in the promise land.  
But I feel at home, do you understand.  
Na na na naa na  
  
Though the road is rocky,  
It sure feels good to me.  
And if your lucky,  
Together we'll always be.  
  
I'll be ridin'  
Sun is a risin'  
Jah is a risin'  
  
Rainbow Country, rainbow country.

"
"267","Jennifer Lopez","Expertease","Boy you give me hungry eyes  
You and I are doing it tonight  
But I don't wanna make you aware to give it  
Boy you know you make me hot  
My sweet spot is hitting the jackpot  
You know that our bodies are made for sinning  
And you know that you're on fire, you're on fire  
And I'm on fire, I'm on fire  
And we're lit up, we're lit up  
Let's rise  
Yeah you know that you're on fire, you're on fire  
And I'm on fire, I'm on fire  
And we're lit up, we're lit up  
Let's rise  
  
So come on baby ready set go  
I wanna throw boy against the curb  
Come on baby ready set go  
Let my body be your world  
Come on baby ready set go  
Let me your expert  
Come on baby ready set go  
Ready set go  
Let me show my expertease  
I'm an expertease  
And you know it  
Let me show my expertease  
I'm an expertease  
An expert-tease  
  
I'mma turn your body on  
Cause a marathon begins with passion  
And I don't wanna wait another minute  
We can do it standing up  
Gonna feel my love one thing unites  
You know that our bodies are made for sinning  
And you know that you're on fire, you're on fire  
And I'm on fire, I'm on fire  
And we're lit up, we're lit up  
Let's rise  
Yeah you know that you're on fire, you're on fire  
And I'm on fire, I'm on fire  
And we're lit up, we're lit up  
Let's rise  
  
So come on baby ready set go  
I wanna throw boy against the curb  
Come on baby ready set go  
Let my body be your world  
Come on baby ready set go  
Let me your expert  
Come on baby ready set go  
Ready set go  
Let me show my expertease  
I'm an expertease  
And you know it  
Let me show my expertease  
I'm an expertease  
An expert-tease  
  
Tease you, make you burn for me  
Love in the third degree  
I'll tease you, make you burn for me  
Love in the third degree  
  
So come on baby ready set go  
I wanna throw boy against the curb  
Come on baby ready set go  
Let my body be your world  
Come on baby ready set go  
Let me your expert  
Come on baby ready set go  
Ready set go  
Let me show my expertease  
I'm an expertease  
And you know it  
Let me show my expertease  
I'm an expertease

"
